Militaire eenheid,2024-09-4
2-а окрема бригада спеціального призначення ГРУ /// 2nd Guards Spetsnaz Brigade GRU ,"50.306241, 36.9532624"
1009-й мотострілецький полк територіальних військ /// 1009st motorized rifle regiment of territorial troops ,"50.3164774, 36.9723048"
345-й мотострілецький полк /// 345th Motor Rifle Regiment ,"50.2616202, 36.5088815"
177-й окремий полк морської піхоти (в/ч 87852) /// 177th Separate Regiment of Marines ,"48.4575822, 37.9689707"
331-й парашутно-десантний полк (в/ч 71211) зі складу 98-ї ПДД /// 331st Airborne Regiment from the 98th Airborne Division ,"48.5826797, 37.9032169"
31-ша окрема десантно-штурмова бригада (в/ч 73612) /// 31st Guards Air Assault Brigade ,"54.4460946, 48.2390137"
БАРС-13 /// 13nd squad BARS ,"48.5936996, 38.0240307"
2-й парашутно-десантний батальйон зі складу 51-го ПШД /// 2nd paratrooper battalion according to the 51st Parachute Regiment ,"48.686828, 38.989364"
9-й мотострілецький полк зі складу 18-ї МСД /// 9th motorized rifle regiment under the 18th MRD ,"48.6562599, 37.9968063"
2-й мотострілецький батальйон зі складу 57-ї ОМБр /// 2nd motorized rifle battalion from the 57th SMBr  ,"48.695368, 38.985272"
51-й парашутно-десантний полк зі складу 106-ї ПДД /// 51th Guards Airborne Regiment rom the 106th Airborne Division  ,"48.7259377, 38.0964357"
11-а окрема десантно-штурмова бригада /// 11th Separate Assault Brigade ,"51.2618528, 35.5836965"
4-а окрема мотострілецька бригада (ЛНР) /// 4th Separate Motorized Rifle Brigade ,"48.5949586, 37.9591555"
72-га окрема мотострілецька бригада /// 72nd separate motorized rifle brigade ,"50.3191198, 36.7073369"
217-й парашутно-десантний полк (в/ч 62295) зі складу 98-ї ПДД /// 217th Airborne Regiment from the 98th Airborne Division ,"48.6228683, 37.9078204"
200-та окрема мотострілецька бригада /// 200th Separate Motor Rifle Brigade ,"51.2513237, 36.2682932"
137-й парашутно-десантний полк (в/ч 41450) зі складу 106-ї ПДД /// 137th Guards Airborne Regiment from the 106th Airborne Division ,"48.7346353, 38.1576577"
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ","48.6790228, 37.939907"
3-й мотострілецький батальйон зі складу 123-ї омсбр /// The 3rd motorized rifle battalion from the 123rd SMRB ,"48.733171, 38.213888"
6-й окремий мотострілецький полк (ЛНР) ///6th Separate Motorized Rifle Regiment (LNR) ,"48.693, 38.0750241"
123-тя окрема мотострілецька бригада (колишня 2-га) /// 123rd separate motorized rifle brigade (formerly the 2nd Brigade) ,"48.7576144, 38.1844726"
"14-й батальйон територіальної оборони «Прізрак» /// 14th Territorial Defense Battalion ""Prizrak"" (LPR)  ","48.7477708, 38.3849247"
10-та артилерійська бригада ЛНР /// 10th artillery brigade of the LPR ,"48.6605894, 38.0956957"
"Підрозділ росгвардії «Ахмат» /// Rosguard unit ""Akhmat"" ","48.471055, 37.9641165"
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ","48.705179, 37.9922329"
102-й мотострілецький полк /// 102nd Motor Rifle Regiment ,"48.5792295, 37.9474883"
"шойгісти ""шторм-v"" /// shoigists ""storm-v"" ","48.4924614, 38.0261266"
6-та окрема мотострілецька бригада /// 6th Separate Guards Motor Rifle Brigade ,"48.8706423, 38.2534669"
