Militaire eenheid,2023-01-01,2023-02-02,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
3-й мотострілецький батальйон зі складу 114-ї ОМСБр /// 3rd Motorized Rifle Battalion from the 114th Infantry Brigade,,"47.9972718, 37.5503426","47.9972718, 37.5503426","47.9972718, 37.5503426","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343"
3-тя мотострілецька дивізія (в/ч 54046) /// 3rd Motor Rifle Division,,"49.2339227, 38.0579223","49.2339227, 38.0579223","49.2339227, 38.0579223","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922","49.233923, 38.057922"
30-та окрема мотострілецька бригада /// 30th separate motorized rifle brigade,,"49.1369949, 38.2617269","49.1369949, 38.2617269","49.1369949, 38.2617269","49.136995, 38.261727","49.136995, 38.261727","49.136995, 38.261727","49.136995, 38.261727","49.274049, 38.0241461","49.274049, 38.0241461","48.0734202, 37.9577213","48.0734202, 37.9577213"
31-ша окрема десантно-штурмова бригада (в/ч 73612) /// 31st Guards Air Assault Brigade,,"48.5672004, 39.2922994","48.5672004, 39.2922994","48.5672004, 39.2922994","48.5672, 39.292299","48.5672, 39.292299","48.5672, 39.292299","48.5672, 39.292299","48.5672, 39.292299","48.4801122, 38.0178768","48.4539332, 38.0048305","54.4460946, 48.2390137"
33-й гвардійський мотострілецький полк /// 33rd Guards Motorized Rifle Regiment,"46.581634, 32.7460968","48.0877106, 37.7816342","48.0877106, 37.7816342","48.0877106, 37.7816342","48.087711, 37.781634","48.087711, 37.781634","48.087711, 37.781634","48.087711, 37.781634","48.087711, 37.781634","48.0687869, 37.8080702","48.0687869, 37.8080702","48.0687869, 37.8080702"
"331-й парашутно-десантний полк (в/ч 71211) зі складу  98-ї ПДД /// 331st Airborne Regiment from the 98th Airborne Division
",,"49.0336309, 38.0864648","49.0336309, 38.0864648","49.0336309, 38.0864648",,,,,,,,
34-а окрема мотострілецька бригада /// 34th Separate Motorized Rifle Brigade,"46.7438312, 33.3544103","46.551572, 33.2527978","46.551572, 33.2527978","46.5558824, 33.2526066","46.555882, 33.252607","46.555882, 33.252607","46.8929056, 35.4690818","46.8929056, 35.4690818","47.7227779, 36.8992987","47.7227779, 36.8992987","47.7442529, 36.7053218","47.7442529, 36.7053218"
35-та окрема мотострілецька бригада (в/ч 41659) /// 35th Separate Guards Motor Rifle Brigade,,"49.0870837, 38.1340417","49.0870837, 38.1340417","49.0870837, 38.1340417","49.087084, 38.134042","49.087084, 38.134042","49.087084, 38.134042","49.087084, 38.134042","49.087084, 38.134042","49.087084, 38.134042","49.087084, 38.134042","49.0951785, 38.1100093"
37-ма окрема мотострілецька бригада /// 37th Separate Guards Motor Rifle Brigade,,"47.2331462, 35.3887115","47.2331462, 35.3887115","47.2331462, 35.3887115","47.34865, 35.543232","47.34865, 35.543232","47.7576726, 36.8450952","47.7403592, 36.8231227","47.737821, 36.8917882","47.737821, 36.8917882","47.7525965, 36.9611384","47.7525965, 36.9611384"
385-й мотострілецький полк /// 385st  Motorized Rifle Regiment,,"46.6953463, 33.0445591","46.6953463, 33.0445591","46.6953463, 33.0445591","46.695346, 33.044559","46.695346, 33.044559",,,,,,
"4-а окрема мотострілецька бригада (Луганськ) /// 4th Separate Motorized Rifle Brigade
","48.7416329, 38.2756727","48.741406, 38.2257223",,,,,,,,,,
40-ва окрема бригада морської піхоти /// 40th Naval Infantry Brigade,,"47.7507224, 37.3037865","47.7564929, 37.211261","47.7564929, 37.211261","47.756493, 37.211261","47.756493, 37.211261","47.7172372, 36.978838","47.7172372, 36.978838","47.7172372, 36.978838","47.7172372, 36.978838","47.7218567, 37.1439764","47.7218567, 37.1439764"
423-й мотострілецький полк (в/ч 91701) /// 423rd Guards Yampolsky Motor Rifle Regiment,,"49.3868812, 38.0402289","49.3868812, 38.0402289","49.3868812, 38.0402289","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229"
"429-й мотострілецький полк
 /// 429th Motorized Rifle Regiment
","47.4484105, 35.2776047","47.4496583, 35.2738283","47.4496583, 35.2738283","47.4496583, 35.2738283",,,,,,,,
"439-а гвардійська ракетно-артилерійська бригада /// 439th Guards Rocket Artillery Brigade
","46.6092753, 32.7248911","46.465724, 32.4983147","46.465724, 32.4983147","46.465724, 32.4983147",,,,,,,,
488-й мотострілецький полк (зі складу 144 мсд) /// 488th Motor Rifle Regiment (from the composition of 144 MRD),,"49.0419566, 38.2113941","49.0419566, 38.2113941","49.0419566, 38.2113941","49.041957, 38.211394","49.041957, 38.211394","49.041957, 38.211394","49.041957, 38.211394","49.041957, 38.211394","49.041957, 38.211394",,"49.0822349, 38.0689108"
5-й загін БАРС /// 5nd squad BARS,,"49.4739272, 37.9698274","49.4739272, 37.9698274","49.4739272, 37.9698274","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827"
"5-та окрема мотострілецька бригада «Оплот» /// 5th separate motorized rifle brigade ""Oplot""",,"49.4141436, 37.9927776","49.4141436, 37.9927776","49.4141436, 37.9927776","49.414144, 37.992778","49.414144, 37.992778",,,,,,
5-та окрема танкова бригада (в/ч 46108) /// 5th separate tank brigade,,"47.3388751, 35.0776597","47.3388751, 35.0776597","47.3388751, 35.0776597","47.338875, 35.07766","47.338875, 35.07766","47.7036154, 36.9240381","47.7036154, 36.9240381","47.707081, 36.9034388","47.707081, 36.9034388","47.646055, 36.989959","47.646055, 36.989959"
"503-й мотострілецький полк
 /// 503rd Motorized Rifle Regiment
","47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276",,,,,,,,
55-та окрема мотострілецька бригада (в/ч 55115) /// 55th Mountain Motor Rifle Brigade,,"49.0864207, 38.079401","49.0864207, 38.079401","49.0864207, 38.079401","49.086421, 38.079401","49.086421, 38.079401","49.086421, 38.079401","49.086421, 38.079401","49.086421, 38.079401","49.086421, 38.079401","48.0908107, 37.7404541","48.0908107, 37.7404541"
56-й парашутно-десантний полк /// 56th Air Assault Regiment,,"49.0361026, 38.2690011","49.0361026, 38.2690011","49.0361026, 38.2690011","49.036103, 38.269001","49.036103, 38.269001","49.036103, 38.269001","49.036103, 38.269001","47.4735691, 35.9860569","47.4874913, 35.9757571","47.4874913, 35.9757571","47.4874913, 35.9757571"
57-ма окрема мотострілецька бригада /// 57th separate motorized rifle brigade,,"48.5790676, 38.0506284","48.5924666, 38.055091","48.5924666, 38.055091","48.592467, 38.055091","48.5871304, 38.0083993","48.4446461, 37.9696115","48.4446461, 37.9696115","48.4446461, 37.9696115","48.5047344, 38.0135591","48.4794786, 38.0617951","48.4794786, 38.0617951"
"6-й окремий мотострілецький полк (ЛНР) ///6th Separate Motorized Rifle Regiment (LNR)
","48.6814403, 38.1955305","48.6830272, 38.0935622","48.7265284, 38.0091047","48.7265284, 38.0091047",,,,,,,,
"60 окремий мотострілецький батальйон ""Вітірани"" /// 60 separate motorized rifle battalion ""Vitirany""
",,"49.5146096, 37.9838101","48.1068596, 37.8024685","48.1068596, 37.8024685",,,,,,,,
70-й мотострілецький полк (в/ч 71718) /// 70th motorized rifle regiment,,"47.4357017, 36.0269215","47.4357017, 36.0269215","47.4357017, 36.0269215","47.435702, 36.026922","47.435702, 36.026922","47.4562459, 35.8875404","47.4238514, 35.9035046","47.4229233, 35.8362134","47.4169416, 35.8326085","47.4078805, 35.811666","47.4036979, 35.84411"
71-й гвардійський мотострілецький полк /// 71st Guards Motorized Rifle Regiment,"47.7651495, 36.8512508","47.7651495, 36.8512508","47.7812996, 36.8409507","47.7812996, 36.8409507","47.7813, 36.840951","47.7813, 36.840951","47.700265, 36.8176066","47.4127406, 35.8542681","47.386261, 35.9009682","47.386261, 35.9009682","47.2511544, 35.6740252","47.2511544, 35.6740252"
74-та окрема мотострілецька бригада (в/ч 21005) /// 74th Separate Guards Motor Rifle Brigade,,"49.1410294, 38.1696946","49.1410294, 38.1696946","49.1410294, 38.1696946","49.141029, 38.169695","49.141029, 38.169695","49.141029, 38.169695","49.141029, 38.169695","49.141029, 38.169695","49.141029, 38.169695","49.1149672, 38.2040283","49.0812496, 38.149098"
78-й мотострілецький полк ім. Ахмат-Хаджи Кадирова /// 78th motorized rifle regiment,,"47.6211585, 37.320562","47.6211585, 37.320562","47.6211585, 37.320562","47.621158, 37.320562","47.621158, 37.320562","47.621158, 37.320562","47.621158, 37.320562","47.621158, 37.320562","47.3845841, 35.975464","47.379702, 35.7955616","47.379702, 35.7955616"
"82-й окремий гвардійський мотострілковий батальйон /// 82nd Detached Guards Motorized Rifle Battalion
","46.9603623, 29.5080192","46.9603623, 29.5080192","46.8261832, 29.470501","46.8261832, 29.470501",,,,,,,,
87-й стрілецький полк /// 87th Rifle Regiment,,"48.067397, 37.6784035","48.067397, 37.6784035","48.067397, 37.6784035","48.067397, 37.678404","48.067397, 37.678404","48.067397, 37.678404","48.067397, 37.678404","48.067397, 37.678404","48.067397, 37.678404","48.0983598, 37.7793408","48.0983598, 37.7793408"
9-й мотострілецький полк зі складу 18-ї МСД /// 9th motorized rifle regiment under the 18th MRD,,"49.4380218, 37.9774501","49.4380218, 37.9774501","49.4380218, 37.9774501","49.438022, 37.97745","48.6432175, 37.9569807","48.6553527, 37.9968062","48.6562599, 37.9968063","48.6562599, 37.9968063","48.6562599, 37.9968063","48.6562599, 37.9968063","48.6562599, 37.9968063"
9-й окремий полк морської піхоти /// 9th separate regiment of marines,,"48.0959314, 37.6815189","48.0959314, 37.6815189","48.0959314, 37.6815189","48.095931, 37.681519","48.0665724, 37.7282106","48.0665724, 37.7282106","48.0665724, 37.7282106",,,,
90-та танкова дивізія (в/ч 86274) /// 90th tank division,,"49.0666097, 38.2050584","49.0666097, 38.2050584","49.0666097, 38.2050584","49.06661, 38.205058","49.06661, 38.205058","49.06661, 38.205058","49.06661, 38.205058","49.06661, 38.205058","49.06661, 38.205058","49.06661, 38.205058",
БАРС-13 /// 13nd squad BARS,,"49.0100074, 38.2212669","49.0100074, 38.2212669","49.0100074, 38.2212669","49.010007, 38.221267","49.010007, 38.221267","49.010007, 38.221267","48.5934727, 37.9874668","48.5934727, 37.9874668","48.5723503, 37.9872953","48.5723503, 37.9872953","48.5723503, 37.9872953"
БАРС-7 /// 7nd squad BARS,,"48.9489938, 38.250063","48.9489938, 38.250063","48.9701833, 38.2807904","48.970183, 38.28079","48.970183, 38.28079","48.970183, 38.28079","48.970183, 38.28079","48.970183, 38.28079","48.970183, 38.28079","48.970183, 38.28079","48.970183, 38.28079"
Окремий штурмовий батальйон «П'ятнашка» /// Piatnashka Battalion,,"48.052507, 37.6375312","48.052507, 37.6375312","48.052507, 37.6375312","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531"
Окремий штурмовий батальйон «Сомалі» /// Somalia Battalion,,"48.0924236, 37.7103158","48.0924236, 37.7103158","48.0924236, 37.7103158","48.092424, 37.710316","48.092424, 37.710316","48.092424, 37.710316","48.092424, 37.710316","48.092424, 37.710316","48.092424, 37.710316","48.1059518, 37.6663713","48.1059518, 37.6663713"
"ПВК ""Вагнера""  /// PMC Wagner","48.7036517, 38.3338749","48.597731, 38.0480566","48.615665, 38.0336368","48.615665, 38.0336368","48.615665, 38.033637","48.5970493, 37.9776766",,,,,,
"Підрозділ росгвардії «Ахмат-Центр» /// Rosguard unit ""Akhmat-Centre""",,"47.3619711, 35.2545102","47.3619711, 35.2545102","47.3619711, 35.2545102","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566"
"Підрозділ росгвардії «Ахмат-Південь» /// Rosguard unit ""Akhmat-South""",,"47.2676338, 35.2215863","47.2676338, 35.2215863","47.2676338, 35.2215863","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599"
