Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,Totale beweging (km)
"208-й окремий «козачий» мотострілецький полк (ЛНР)
 /// 208th Separate ""Cossack"" Motorized Rifle Regiment (LPR)
",,,,,,"48.9907818, 37.7883167",,,0.0
"205-а окрема мотострілецька бригада /// 205th Separate Motorized Rifle Brigade
",,"46.9185125, 33.155228","46.9185125, 33.155228","46.9185125, 33.155228","46.9185125, 33.155228",,,,0.0
237-й танковий полк /// 237th Panzer Regiment,,"50.2311145, 38.0615827","50.2311145, 38.0615827","50.2311145, 38.0615827","50.2311145, 38.0615827",,,,0.0
228-й мотострілецький полк /// 228th Motorized Rifle Regiment,,"48.9276524, 37.9606116","48.9276524, 37.9606116","48.9276524, 37.9606116","48.9276524, 37.9606116",,,,0.0
239-й гвардійський танковий полк,"49.0542485, 38.2237376",,,,,,,,0.0
239-й гвардійський танковий полк /// 239th Guards Tank Regiment,,"49.0155345, 37.9380966","49.0155345, 37.9380966","49.0155345, 37.9380966","49.0155345, 37.9380966",,,,0.0
25-а окрема гвардійська мотострілецька бригада,"50.4452747, 36.5767864",,,,,,,,0.0
237-й танковий полк,"50.2311145, 38.0615827",,,,,,,,0.0
25-а окрема гвардійська мотострілецька бригада /// 25th Separate Guards Motorized Rifle Brigade,,"50.4452747, 36.5767864","50.4452747, 36.5767864","50.4452747, 36.5767864","50.4452747, 36.5767864",,,,0.0
252-й гвардійський мотострілецький полк,"49.2505371, 37.4416015",,,,,,,,0.0
252-й гвардійський мотострілецький полк /// 252nd Guards Motorized Rifle Regiment,,"49.2505371, 37.4416015","49.2505371, 37.4416015","49.2505371, 37.4416015","49.2505371, 37.4416015",,,,0.0
"11-й мотострілецький полк
","47.6907379, 37.5436469",,,,,,,,0.0
"11-й окремий гвардійський мотострілецький полк (Донецьк)
/// 11th Separate Guards Motorized Rifle Regiment (DPR)
",,"48.1789383, 37.8973468","48.1789383, 37.8973468","48.1789383, 37.8973468","48.1789383, 37.8973468",,,,0.0
"113-й окремий гвардійський мотострілковий батальйон
","46.7650535, 29.6975333",,,,,,,,0.0
"102-й мотострілецький полк
","48.6583442, 38.5742369",,,,,,,,0.0
"1-й гвардійський танковий полк /// 1st Guards Tank Regiment
",,"49.0832136, 37.4498546","49.0832136, 37.4498546","49.0832136, 37.4498546","49.0832136, 37.4498546",,,,0.0
291-й гвардійський мотострілецький полк /// 291st Guards Motorized Rifle Regiment,,"47.4559248, 36.6852752","47.4559248, 36.6852752","47.4559248, 36.6852752","47.4559248, 36.6852752",,,,0.0
291-й гвардійський мотострілецький полк /// 291st Guards Motorized Rifle Regiment,,,,,,"47.7817366, 36.8183869","47.7817366, 36.8183869","47.7817366, 36.8183869",0.0
"27-а окрема гвардійська мотострілецька бригада /// 27th Separate Guards Motorized Rifle Brigade
",,"50.2729246, 36.9182823","50.2729246, 36.9182823","50.2729246, 36.9182823","50.2729246, 36.9182823",,,,0.0
"27-а окрема гвардійська мотострілецька бригада
","49.6160868, 36.9956714",,,,,,,,0.0
"26-й гвардійський танковий полк
","49.2868979, 37.2141285",,,,,,,,0.0
"30-а окрема мотострілецька бригада /// 30th Separate Motorized Rifle Brigade
",,"49.202663, 37.6393456","49.202663, 37.6393456","49.202663, 37.6393456","49.202663, 37.6393456",,,,0.0
336-а окрема гвардійська морська піхотна бригада /// 336th Separate Guards Naval Infantry Brigade,,"48.659038, 38.3546544","48.659038, 38.3546544","48.659038, 38.3546544","48.659038, 38.3546544",,,,0.0
"30-а окрема мотострілецька бригада
","49.202663, 37.6393456",,,,,,,,0.0
"34-а окрема мотострілецька бригада
","46.7348239, 32.8010932",,,,,,,,0.0
"34-а окрема мотострілецька бригада /// 34th Separate Motorized Rifle Brigade
",,"46.7519975, 32.7866736","46.7519975, 32.7866736","46.7519975, 32.7866736","46.7519975, 32.7866736",,,,0.0
36-а окрема гвардійська мотострілецька бригада /// 36th Separate Guards Motorized Rifle Brigade,,"49.1377418, 38.9165558","49.1377418, 38.9165558","49.1377418, 38.9165558","49.1377418, 38.9165558",,,,0.0
35-та окрема гвардійська мотострілецька бригада /// 35th Separate Guards Motorized Rifle Brigade,,"48.9576746, 38.2047218","48.9576746, 38.2047218","48.9576746, 38.2047218","48.9576746, 38.2047218",,,,0.0
37-а окрема гвардійська мотострілецька бригада /// 37th Separate Guards Motorized Rifle Brigade,,"49.2744745, 37.2701142","49.2744745, 37.2701142","49.2744745, 37.2701142","49.2744745, 37.2701142",,,,0.0
"38-а окрема мотострілецька бригада
","49.6945116, 36.8727911",,,,,,,,0.0
"38-а окрема мотострілецька бригада /// 38th Separate Motorized Rifle Brigade
",,"49.1966048, 37.2380788","49.1966048, 37.2380788","49.1966048, 37.2380788","49.1966048, 37.2380788",,,,0.0
291-й мотострілецький полк,"47.5488994, 36.5548677",,,,,,,,0.0
40-а окрема морська піхотна бригада,"47.316108, 37.4879821",,,,,,,,0.0
40-а окрема морська піхотна бригада /// 40th Separate Marine Infantry Brigade,,"48.6208258, 38.3172295","48.6208258, 38.3172295","48.6208258, 38.3172295","48.6208258, 38.3172295",,,,0.0
423-й гвардійський мотострілецький полк,"49.133532, 37.1200254",,,,,,,,0.0
423-й гвардійський мотострілецький полк /// 423rd Guards Motorized Rifle Regiment,,"49.6643772, 37.5746166","49.6643772, 37.5746166","49.6643772, 37.5746166","49.6643772, 37.5746166",,,,0.0
"429-й мотострілецький полк
 /// 429th Motorized Rifle Regiment
",,,,,,"47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047",0.0
429-й танковий полк,"47.3368541, 35.2336653",,,,,,,,0.0
429-й танковий полк /// 429th Tank Regiment,,"47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047",,,,0.0
"439-а гвардійська ракетно-артилерійська бригада /// 439th Guards Rocket Artillery Brigade
",,,,,,"46.6092753, 32.7248911","46.6092753, 32.7248911","46.6092753, 32.7248911",0.0
5-а гвардійська окрема танкова бригада /// 5th Separate Guards Tank Brigade,,"49.2423712, 37.277124","49.2423712, 37.277124","49.2423712, 37.277124","49.2423712, 37.277124",,,,0.0
5-а окрема мотострілецька бригада (ДНР) /// 5th Separate Motorized Rifle Brigade (DPR),,"48.0538811, 37.7752793","48.0538811, 37.7752793","48.0538811, 37.7752793","48.0538811, 37.7752793",,,,0.0
"5-та загальновійськова армія /// 5th Combined Arms Army
",,,,,,"46.9185125, 33.155228",,,0.0
"503-й мотострілецький полк
","47.4238576, 35.2528876",,,,,,,,0.0
"503-й мотострілецький полк
 /// 503rd Motorized Rifle Regiment
",,,,,,"47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276",0.0
55-а окрема мотострілецька бригада,"49.1737867, 37.930513",,,,,,,,0.0
55-а окрема мотострілецька бригада /// 55th Separate Motorized Rifle Brigade,,"48.999612, 38.1085223","48.999612, 38.1085223","48.999612, 38.1085223","48.999612, 38.1085223",,,,0.0
