Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,Gemiddelde beweging (km)
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913",,,,,283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913","47.7043447, 36.6784228",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228","47.7043447, 36.6784228",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913","46.7220121, 33.2306913",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7043447, 36.6784228","47.7043447, 36.6784228",,,,,283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","47.7043447, 36.6784228","46.7220121, 33.2306913",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",,,,,283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","47.7043447, 36.6784228","47.7043447, 36.6784228",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",283.05690940708945
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",280.6339213932513
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",280.6339213932513
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.6790228, 37.939907","47.7043447, 36.6784228",,,,,279.1346614531228
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.6790228, 37.939907","46.7220121, 33.2306913",,,,,279.1346614531228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329",274.8452678806972
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",274.8452678806972
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.705179, 37.9922329","46.7220121, 33.2306913",,,,,270.0617419531168
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.705179, 37.9922329","47.7348026, 37.2737004",,,,,270.0617419531168
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",268.6852894008651
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329",268.68528940086503
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.6790228, 37.939907","46.7220121, 33.2306913",,,,,265.5145780293037
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.6790228, 37.939907","47.7348026, 37.2737004",,,,,265.5145780293037
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469",264.93503324062453
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",264.93503324062453
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",259.1463797280705
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",259.14637972807043
80-й гвардійський танковий червонопрапорний полк /// 80th Guards Tank Red Banner Regiment ,,,,"50.3601207, 36.8200759","48.1113747, 37.5845753",,,256.21094977918995
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913",250.00448808504248
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228",250.00448808504248
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469",250.00448808504248
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",250.00448808504248
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913",250.00448808504248
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",250.00448808504248
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913",247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913",247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",,,,,247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913",247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469",247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469",247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913",,,,,247.19111488856095
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228",244.21583457248843
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329",244.21583457248838
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.6790228, 37.939907","48.0464243, 37.7984469",,,,,243.03376379402005
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.6790228, 37.939907","46.7220121, 33.2306913",,,,,243.03376379402005
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.0464243, 37.7984469","46.7220121, 33.2306913",,,,,241.47338423402994
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7348026, 37.2737004","46.7220121, 33.2306913",,,,,240.46111144852594
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329",238.61478124201395
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913",238.61478124201395
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329",238.0558560926563
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228",238.0558560926563
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",,,,,233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228",233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228",233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913",233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913",233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913",233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913",,,,,233.47827742401904
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7043447, 36.6784228","46.7220121, 33.2306913",,,,,232.3319140103447
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.705179, 37.9922329","46.7220121, 33.2306913",,,,,227.0496327886618
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.6790228, 37.939907","46.7220121, 33.2306913",,,,,226.86880505316225
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329",224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329",224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329",,,,,224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329",224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913",224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913",224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913",224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913",,,,,224.79529715518788
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7348026, 37.2737004","46.7220121, 33.2306913",,,,,223.28356748116528
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7348026, 37.2737004","48.705179, 37.9922329",,,,,223.28356748116528
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","48.0464243, 37.7984469","46.7220121, 33.2306913",,,,,223.03259546448638
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.0464243, 37.7984469","48.6790228, 37.939907",,,,,223.03259546448638
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7348026, 37.2737004","48.6790228, 37.939907",,,,,221.13105296119164
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7348026, 37.2737004","46.7220121, 33.2306913",,,,,221.13105296119164
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469",219.93397992619137
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913",219.93397992619137
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469",219.37505477683374
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228",219.3750547768337
72-га окрема мотострілецька бригада /// 72nd separate motorized rifle brigade ,,,,"48.5543494, 37.9663669","48.5543494, 37.9663669","48.5543494, 37.9663669","50.3191198, 36.7073369",216.46937859314653
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329",215.55532943543972
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329",,,,,215.55532943543972
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913",215.55532943543972
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913",,,,,215.55532943543972
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913",215.55532943543972
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329",215.55532943543972
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228","46.7220121, 33.2306913",215.55532943543972
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329",215.55532943543972
83-я окрема гвардійська десантно-штурмова бригада///83rd Separate Guards Air Assault Brigade ,,,,"48.5129936, 37.9946359","48.5129936, 37.9946359","50.3025128, 36.9230279","50.3025128, 36.9230279",213.6746276029233
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7348026, 37.2737004",,,,,213.6472494866988
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.0464243, 37.7984469","46.7220121, 33.2306913",,,,,213.6472494866988
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7043447, 36.6784228","48.6790228, 37.939907",,,,,213.18934316127599
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7043447, 36.6784228","46.7220121, 33.2306913",,,,,213.18934316127599
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","48.705179, 37.9922329","46.7220121, 33.2306913",,,,,212.28196512791362
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.705179, 37.9922329","48.6790228, 37.939907",,,,,212.28196512791362
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.6790228, 37.939907","48.705179, 37.9922329",,,,,209.88731572407426
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","48.6790228, 37.939907","46.7220121, 33.2306913",,,,,209.88731572407426
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329",205.00343477060937
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913",205.00343477060935
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913",199.21478125805527
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228",199.21478125805524
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228",195.46452509781474
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913",195.46452509781474
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913",193.05480277822312
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228",193.05480277822312
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913",189.67587158526064
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329",189.67587158526064
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7348026, 37.2737004","48.0464243, 37.7984469",,,,,189.26489274812036
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7348026, 37.2737004","46.7220121, 33.2306913",,,,,189.26489274812036
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913",,,,,187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469",187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228","46.7220121, 33.2306913",187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469",187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913",187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913",187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469",187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469",,,,,187.53412746170585
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469",186.3226334547868
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913",186.32263345478677
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","47.7348026, 37.2737004","46.7220121, 33.2306913",,,,,185.48579646523626
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7348026, 37.2737004","47.7043447, 36.6784228",,,,,185.48579646523626
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7043447, 36.6784228","47.7043447, 36.6784228",,,,,181.60691861359996
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913",174.7453264296786
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469",174.74532642967858
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913",168.58534794984647
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469",168.58534794984647
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7043447, 36.6784228","48.705179, 37.9922329",,,,,164.83033403869496
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7043447, 36.6784228","47.7348026, 37.2737004",,,,,163.92400324150154
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","47.7043447, 36.6784228","46.7220121, 33.2306913",,,,,163.92400324150154
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7043447, 36.6784228","48.6790228, 37.939907",,,,,162.46434776453125
155-та бригада морської піхоти (в/ч 30926) /// 155th Separate Brigade of Marines ,,,,"47.8532283, 37.4727806","50.6109302, 36.5880966","50.3262801, 36.9566089","50.853289, 35.5737233",156.19707594894166
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913",155.693200146578
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228",155.693200146578
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7348026, 37.2737004","47.7348026, 37.2737004",,,,,154.74172704249298
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913",149.90454663402392
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329",149.9045466340239
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329",,,,,148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228",,,,,148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228",,,,,148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329",,,,,148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228",,,,,148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329",,,,,148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228","47.7043447, 36.6784228",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228",148.05374946378998
