Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
237-й танковий полк,"50.2311145, 38.0615827",,,,,,,
237th Panzer Regiment,,"50.2311145, 38.0615827","50.2311145, 38.0615827","50.2311145, 38.0615827","50.2311145, 38.0615827",,,
239-й гвардійський танковий полк,"49.0542485, 38.2237376",,,,,,,
239th Guards Tank Regiment,,"49.0155345, 37.9380966","49.0155345, 37.9380966","49.0155345, 37.9380966","49.0155345, 37.9380966",,,
247th Guards Air Assault Regiment,,,,,,"46.8080587, 32.5840679","46.8080587, 32.5840679","46.6021597, 32.7917587"
25-а окрема гвардійська мотострілецька бригада,"50.4452747, 36.5767864",,,,,,,
25th Separate Guards Motorized Rifle Brigade,,"50.4452747, 36.5767864","50.4452747, 36.5767864","50.4452747, 36.5767864","50.4452747, 36.5767864",,,
252-й гвардійський мотострілецький полк,"49.2505371, 37.4416015",,,,,,,
252nd Guards Motorized Rifle Regiment,,"49.2505371, 37.4416015","49.2505371, 37.4416015","49.2505371, 37.4416015","49.2505371, 37.4416015",,,
255th Guards Motorized Rifle Regiment,,,,,,"46.6968986, 32.4907756","46.6968986, 32.4907756","46.6224447, 32.7331554"
26-й гвардійський танковий полк,"49.2868979, 37.2141285",,,,,,,
27-а окрема гвардійська мотострілецька бригада,"49.6160868, 36.9956714",,,,,,,
27th Separate Guards Motorized Rifle Brigade,,"50.2729246, 36.9182823","50.2729246, 36.9182823","50.2729246, 36.9182823","50.2729246, 36.9182823",,,
291st Guards Motorized Rifle Regiment,,,,,,"47.7817366, 36.8183869","47.7817366, 36.8183869","47.7817366, 36.8183869"
291st Guards Motorized Rifle Regiment,,"47.4559248, 36.6852752","47.4559248, 36.6852752","47.4559248, 36.6852752","47.4559248, 36.6852752",,,
291-й мотострілецький полк,"47.5488994, 36.5548677",,,,,,,
3rd Separate Motorized Rifle Brigade (DPR),,"48.3096069, 38.0133899","48.3096069, 38.0133899","48.3096069, 38.0133899","48.3096069, 38.0133899","48.4746901, 38.2248781","48.4746901, 38.2248781","48.4746901, 38.2248781"
30-а окрема мотострілецька бригада,"49.202663, 37.6393456",,,,,,,
30th Separate Motorized Rifle Brigade,,"49.202663, 37.6393456","49.202663, 37.6393456","49.202663, 37.6393456","49.202663, 37.6393456",,,
33rd Guards Motorized Rifle Regiment,,,,,,"46.6420069, 32.4488924","46.6420069, 32.4488924","46.581634, 32.7460968"
336th Separate Guards Naval Infantry Brigade,,"48.659038, 38.3546544","48.659038, 38.3546544","48.659038, 38.3546544","48.659038, 38.3546544",,,
34-а окрема мотострілецька бригада,"46.7348239, 32.8010932",,,,,,,
34th Separate Motorized Rifle Brigade,,,,,,"47.325955, 33.4086557","47.1081551, 33.3509698","46.7438312, 33.3544103"
34th Separate Motorized Rifle Brigade,,"46.7519975, 32.7866736","46.7519975, 32.7866736","46.7519975, 32.7866736","46.7519975, 32.7866736",,,
35th Separate Guards Motorized Rifle Brigade,,"48.9576746, 38.2047218","48.9576746, 38.2047218","48.9576746, 38.2047218","48.9576746, 38.2047218",,,
36th Separate Guards Motorized Rifle Brigade,,"49.1377418, 38.9165558","49.1377418, 38.9165558","49.1377418, 38.9165558","49.1377418, 38.9165558",,,
37th Separate Guards Motorized Rifle Brigade,,"49.2744745, 37.2701142","49.2744745, 37.2701142","49.2744745, 37.2701142","49.2744745, 37.2701142",,,
38-а окрема мотострілецька бригада,"49.6945116, 36.8727911",,,,,,,
38th Separate Motorized Rifle Brigade,,"49.1966048, 37.2380788","49.1966048, 37.2380788","49.1966048, 37.2380788","49.1966048, 37.2380788",,,
4-а окрема мотострілецька бригада (Луганськ),"48.723517, 38.6416554",,,,,,,
4th Separate Motorized Rifle Brigade,,"48.723517, 38.6416554","48.723517, 38.6416554","48.723517, 38.6416554","48.723517, 38.6416554","48.7416329, 38.2756727","48.7416329, 38.2756727","48.7416329, 38.2756727"
