Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01
143rd Motorized Rifle Regiment from the 127th MRD,,,,"47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323","47.7047475, 36.6169323"
1430th motorized rifle regiment,,,,"47.2067178, 35.7191344","47.2067178, 35.7191344","47.2067178, 35.7191344","47.2067178, 35.7191344","47.2067178, 35.7191344","47.2067178, 35.7191344"
1431st motorized rifle regiment of territorial troops,,,,"49.6075721, 37.9156468","49.6075721, 37.9156468","49.6075721, 37.9156468","49.6075721, 37.9156468","49.6075721, 37.9156468","49.6075721, 37.9156468"
1432nd motorized rifle regiment,,,,"49.4790834, 38.0063732","49.4790834, 38.0063732","49.4790834, 38.0063732","49.4790834, 38.0063732","49.4790834, 38.0063732","49.4790834, 38.0063732"
1432nd motorized rifle regiment of territorial troops,,,,"49.5876101, 37.946836","49.5876101, 37.946836","49.5876101, 37.946836","49.5876101, 37.946836","49.5876101, 37.946836","49.5876101, 37.946836"
144th Separate Motorized Rifle Brigade,,,,"46.6416367, 32.843763","46.6416367, 32.843763","46.6416367, 32.843763","46.6416367, 32.843763","46.6416367, 32.843763","46.6416367, 32.843763"
144th Guards Motor Rifle Division,,,,"49.0510866, 38.1429158","49.0510866, 38.1429158","49.0510866, 38.1429158","49.0510866, 38.1429158","49.0510866, 38.1429158","49.0510866, 38.1429158"
1445th motorized rifle regiment,,,,"46.7325247, 33.1480704","46.7325247, 33.1480704","46.7325247, 33.1480704","46.7325247, 33.1480704","46.7325247, 33.1480704","46.7325247, 33.1480704"
1461st motorized rifle regiment of territorial troops,,,,"47.7195744, 36.7630308","47.7195744, 36.7630308","47.7195744, 36.7630308","47.7195744, 36.7630308","47.7195744, 36.7630308","47.7195744, 36.7630308"
1465th motorized rifle regiment of territorial troops,,,,"47.8841407, 37.5475103","47.8841407, 37.5475103","47.8841407, 37.5475103","47.8841407, 37.5475103","47.8841407, 37.5475103","47.8841407, 37.5475103"
1487th motorized rifle regiment of territorial troops,,,,"48.0844403, 37.7580846","48.0844403, 37.7580846","48.0844403, 37.7580846","48.0844403, 37.7580846","48.0844403, 37.7580846","48.0844403, 37.7580846"
15th Guards Motor Rifle Regiment,,,,"49.600375, 37.8946215","49.600375, 37.8946215","49.600375, 37.8946215","49.600375, 37.8946215","49.600375, 37.8946215","49.600375, 37.8946215"
15th Separate Motor Rifle Brigade,,,,"48.1977101, 37.6921627","48.1977101, 37.6921627","48.2114394, 37.6090788","48.2114394, 37.6090788","48.2347712, 37.4563024","48.2054911, 37.4216276"
150th Motorized Rifle Division,,,,"47.9406426, 37.5414393","47.9406426, 37.5414393","47.9406426, 37.5414393","47.9406426, 37.5414393","47.9406426, 37.5414393","47.9406426, 37.5414393"
"153rd Tank Regiment from the 47th TD, 1st TA",,,,"49.752967, 38.229591","49.752967, 38.229591","49.752967, 38.229591","49.752967, 38.229591","50.3941288, 36.9311201","50.3941288, 36.9311201"
155th Separate Brigade of Marines,,,,"47.8145097, 37.4641976","47.8532283, 37.4727806","47.8532283, 37.4727806","50.6109302, 36.5880966","50.3262801, 36.9566089","50.853289, 35.5737233"
164th Mountain Motor Rifle Brigade,,,,"49.0648747, 38.042073","49.0648747, 38.042073","49.0648747, 38.042073","49.0648747, 38.042073","49.0648747, 38.042073","49.0648747, 38.042073"
169th separate motorized rifle brigade,,,,"49.0270542, 38.0308757","49.0270542, 38.0308757","49.0270542, 38.0308757","49.0270542, 38.0308757","49.0270542, 38.0308757","49.0270542, 38.0308757"
17th tank regiment,,,,"46.7070216, 33.1325046","46.7070216, 33.1325046","46.7070216, 33.1325046","46.7070216, 33.1325046","46.7070216, 33.1325046","46.7070216, 33.1325046"
177th Separate Regiment of Marines,,,,"48.4575822, 37.9689707","48.4575822, 37.9689707","48.4575822, 37.9689707","48.4575822, 37.9689707","48.4575822, 37.9689707","48.4575822, 37.9689707"
18th Machine Gun Artillery Division,,,,"47.8026622, 37.5805178","47.8026622, 37.5805178","47.8026622, 37.5805178","47.8026622, 37.5805178","47.8206458, 37.4524595","47.8206458, 37.4524595"
1822nd battalion,,,,"46.686263, 32.9985402","46.686263, 32.9985402","46.686263, 32.9985402","46.686263, 32.9985402","46.686263, 32.9985402","46.686263, 32.9985402"
