Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,Totale beweging (km),Aantal bewegingen
113th Separate Guards Motorized Rifle Battalion,,"46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333","46.7650535, 29.6975333",0.0,1
127-а окрема розвідувальна бригада,"46.6910111, 32.5972083",,,,,,,,0.0,0
126th Separate Coast Guard Brigade,,"47.0805271, 33.6234978","47.0805271, 33.6234978","47.0805271, 33.6234978","47.0805271, 33.6234978",,,,0.0,1
13-й гвардійський танковий полк,"49.1355538, 37.128952",,,,,,,,0.0,0
13th Guards Tank Regiment,,"49.6930482, 37.5375108","49.6930482, 37.5375108","49.6930482, 37.5375108","49.6930482, 37.5375108",,,,0.0,1
131st Reserve Regiment (DPR),,,,,,"47.7697389, 36.7789048","47.7697389, 36.7789048","47.7697389, 36.7789048",0.0,1
127th Separate Reconnaissance Brigade,,"46.7573816, 32.5560091","46.7573816, 32.5560091","46.7573816, 32.5560091","46.7573816, 32.5560091",,,,0.0,1
136-а окрема гвардійська мотострілецька бригада,"47.9352619, 37.6071953",,,,,,,,0.0,0
136th Separate Guards Motorized Rifle Brigade,,,,,,"47.6717037, 37.3067378","47.6717037, 37.3067378","47.6717037, 37.3067378",0.0,1
138-а окрема мотострілецька бригада,"50.4497, 36.9873161",,,,,,,,0.0,0
11th Separate Motorized Rifle Brigade (DPR),,,,,,"48.1194757, 37.8206042","48.1194757, 37.8206042","48.1194757, 37.8206042",0.0,1
102nd Motorized Rifle Regiment,,"48.6449622, 38.5326947","48.6449622, 38.5326947","48.6449622, 38.5326947","48.6449622, 38.5326947",,,,0.0,1
11-а окрема десантно-штурмова бригада,"47.1609128, 33.234884",,,,,,,,0.0,0
10th special brigade,,"46.6420069, 32.4488924","46.6420069, 32.4488924","46.6420069, 32.4488924","46.6420069, 32.4488924",,,,0.0,1
10-а окрема бригада спеціального призначення,"46.6420069, 32.4488924",,,,,,,,0.0,0
155-а окрема гвардійська морська піхотна бригада,"47.3589198, 37.4811157",,,,,,,,0.0,0
144-а мотострілецька дивізія,"49.9119145, 37.2450273",,,,,,,,0.0,0
141st Separate Guards Tank Battalion,,,,,,"47.4754216, 35.4067426","47.4754216, 35.4067426","47.4754216, 35.4067426",0.0,1
138th Separate Motorized Rifle Brigade,,"50.4497, 36.9873161","50.4497, 36.9873161","50.4497, 36.9873161","50.4497, 36.9873161",,,,0.0,1
136th Separate Guards Motorized Rifle Brigade,,"47.9352619, 37.6071953","47.9352619, 37.6071953","47.9352619, 37.6071953","47.9352619, 37.6071953",,,,0.0,1
2nd Guards Motorized Rifle Division,,"49.2596934, 37.136741","49.2596934, 37.136741","49.2596934, 37.136741","49.2596934, 37.136741",,,,0.0,1
177th Marine Infantry Regiment,,"47.1948308, 36.2195645","47.1948308, 36.2195645","47.1948308, 36.2195645","47.1948308, 36.2195645",,,,0.0,1
163-й танковий полк,"47.685142, 37.1544818",,,,,,,,0.0,0
200-а окрема мотострілецька бригада,"50.5256633, 36.2993816",,,,,,,,0.0,0
2nd Separate Motorized Rifle Brigade (LPR),,"49.0635148, 38.3626502","49.0635148, 38.3626502","49.0635148, 38.3626502","49.0635148, 38.3626502",,,,0.0,1
200th Separate Motorized Rifle Brigade,,"50.308679, 36.4449719","50.308679, 36.4449719","50.308679, 36.4449719","50.308679, 36.4449719",,,,0.0,1
201-а мотострілецька дивізія,"49.2128684, 37.7766532",,,,,,,,0.0,0
205-а окрема мотострілецька бригада,"46.9185125, 33.155228",,,,,,,,0.0,0
201st Motorized Rifle Division,,"49.1136376, 37.7546707","49.1136376, 37.7546707","49.1136376, 37.7546707","49.1136376, 37.7546707",,,,0.0,1
163rd Panzer Regiment,,"48.6074969, 38.4930159","48.6074969, 38.4930159","48.6074969, 38.4930159","48.6074969, 38.4930159",,,,0.0,1
177-й морський піхотний полк,"47.1920249, 37.3333008",,,,,,,,0.0,0
"208th Separate ""Cossack"" Motorized Rifle Regiment (LPR)",,,,,,"48.9907818, 37.7883167",,,0.0,1
205th Separate Motorized Rifle Brigade,,"46.9185125, 33.155228","46.9185125, 33.155228","46.9185125, 33.155228","46.9185125, 33.155228",,,,0.0,1
237th Panzer Regiment,,"50.2311145, 38.0615827","50.2311145, 38.0615827","50.2311145, 38.0615827","50.2311145, 38.0615827",,,,0.0,1
228th Motorized Rifle Regiment,,"48.9276524, 37.9606116","48.9276524, 37.9606116","48.9276524, 37.9606116","48.9276524, 37.9606116",,,,0.0,1
239-й гвардійський танковий полк,"49.0542485, 38.2237376",,,,,,,,0.0,0
239th Guards Tank Regiment,,"49.0155345, 37.9380966","49.0155345, 37.9380966","49.0155345, 37.9380966","49.0155345, 37.9380966",,,,0.0,1
25-а окрема гвардійська мотострілецька бригада,"50.4452747, 36.5767864",,,,,,,,0.0,0
237-й танковий полк,"50.2311145, 38.0615827",,,,,,,,0.0,0
25th Separate Guards Motorized Rifle Brigade,,"50.4452747, 36.5767864","50.4452747, 36.5767864","50.4452747, 36.5767864","50.4452747, 36.5767864",,,,0.0,1
252-й гвардійський мотострілецький полк,"49.2505371, 37.4416015",,,,,,,,0.0,0
252nd Guards Motorized Rifle Regiment,,"49.2505371, 37.4416015","49.2505371, 37.4416015","49.2505371, 37.4416015","49.2505371, 37.4416015",,,,0.0,1
11-й мотострілецький полк,"47.6907379, 37.5436469",,,,,,,,0.0,0
11th Separate Guards Motorized Rifle Regiment (DPR),,"48.1789383, 37.8973468","48.1789383, 37.8973468","48.1789383, 37.8973468","48.1789383, 37.8973468",,,,0.0,1
113-й окремий гвардійський мотострілковий батальйон,"46.7650535, 29.6975333",,,,,,,,0.0,0
102-й мотострілецький полк,"48.6583442, 38.5742369",,,,,,,,0.0,0
1st Guards Tank Regiment,,"49.0832136, 37.4498546","49.0832136, 37.4498546","49.0832136, 37.4498546","49.0832136, 37.4498546",,,,0.0,1
291st Guards Motorized Rifle Regiment,,"47.4559248, 36.6852752","47.4559248, 36.6852752","47.4559248, 36.6852752","47.4559248, 36.6852752",,,,0.0,1
291st Guards Motorized Rifle Regiment,,,,,,"47.7817366, 36.8183869","47.7817366, 36.8183869","47.7817366, 36.8183869",0.0,1
27th Separate Guards Motorized Rifle Brigade,,"50.2729246, 36.9182823","50.2729246, 36.9182823","50.2729246, 36.9182823","50.2729246, 36.9182823",,,,0.0,1
27-а окрема гвардійська мотострілецька бригада,"49.6160868, 36.9956714",,,,,,,,0.0,0
26-й гвардійський танковий полк,"49.2868979, 37.2141285",,,,,,,,0.0,0
30th Separate Motorized Rifle Brigade,,"49.202663, 37.6393456","49.202663, 37.6393456","49.202663, 37.6393456","49.202663, 37.6393456",,,,0.0,1
336th Separate Guards Naval Infantry Brigade,,"48.659038, 38.3546544","48.659038, 38.3546544","48.659038, 38.3546544","48.659038, 38.3546544",,,,0.0,1
30-а окрема мотострілецька бригада,"49.202663, 37.6393456",,,,,,,,0.0,0
34-а окрема мотострілецька бригада,"46.7348239, 32.8010932",,,,,,,,0.0,0
34th Separate Motorized Rifle Brigade,,"46.7519975, 32.7866736","46.7519975, 32.7866736","46.7519975, 32.7866736","46.7519975, 32.7866736",,,,0.0,1
36th Separate Guards Motorized Rifle Brigade,,"49.1377418, 38.9165558","49.1377418, 38.9165558","49.1377418, 38.9165558","49.1377418, 38.9165558",,,,0.0,1
35th Separate Guards Motorized Rifle Brigade,,"48.9576746, 38.2047218","48.9576746, 38.2047218","48.9576746, 38.2047218","48.9576746, 38.2047218",,,,0.0,1
37th Separate Guards Motorized Rifle Brigade,,"49.2744745, 37.2701142","49.2744745, 37.2701142","49.2744745, 37.2701142","49.2744745, 37.2701142",,,,0.0,1
38-а окрема мотострілецька бригада,"49.6945116, 36.8727911",,,,,,,,0.0,0
38th Separate Motorized Rifle Brigade,,"49.1966048, 37.2380788","49.1966048, 37.2380788","49.1966048, 37.2380788","49.1966048, 37.2380788",,,,0.0,1
291-й мотострілецький полк,"47.5488994, 36.5548677",,,,,,,,0.0,0
